open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy__quote_volume,ignore,premium_index_open,premium_index_high,premium_index_low,premium_index_close
1686063600000,26014.2,26039.9,25961.8,25982.5,2641.959,1686063899999,68669031.0896,26608,1051.474,27333116.2101,0,-0.00035671,-0.00022494,-0.00087314,-0.00048136
1686063900000,25982.6,26044.1,25976.8,26015.1,2295.966,1686064199999,59735825.8815,24191,1150.382,29931214.2328,0,-0.00047808,-0.00014056,-0.00087539,-0.00087539
1686064200000,26015.1,26075.4,25958.8,25972.9,4054.982,1686064499999,105469540.21366,32090,1862.601,48458363.54426,0,-0.00101224,0.00013892,-0.00101224,-0.00033903
1686064500000,25972.9,25986.7,25917.0,25945.1,4014.242,1686064799999,104147159.5827,31865,1815.924,47112511.5691,0,-0.00055862,-0.00027371,-0.0009683,-0.00030768
1686064800000,25945.0,25991.0,25930.0,25940.1,2451.423,1686065099999,63628926.4909,22189,1348.003,34988309.5695,0,-0.00044045,-8.951e-05,-0.00072002,-0.00050092
1686065100000,25940.1,25955.7,25912.1,25929.2,1746.261,1686065399999,45286021.8103,16996,792.062,20541751.58,0,-0.00049667,-2.002e-05,-0.0006231,-0.00047919
1686065400000,25929.3,25981.7,25929.2,25938.8,1434.539,1686065699999,37234359.8228,16937,815.306,21162719.8151,0,-0.00042394,-0.00011053,-0.00073513,-0.00049627
1686065700000,25938.7,25981.0,25938.7,25968.0,970.204,1686065999999,25192503.0437,10174,589.919,15318144.6165,0,-0.00059011,-0.00024327,-0.00070539,-0.00044477
1686066000000,25968.0,26016.5,25963.3,26004.6,1401.085,1686066299999,36414548.3666,14742,848.304,22047853.8045,0,-0.00052562,-0.00012482,-0.00062485,-0.00033927
1686066300000,26004.6,26082.3,26004.6,26031.1,4080.992,1686066599999,106280118.6375,31809,2247.883,58540348.1278,0,-0.0002719,7.525e-05,-0.00070296,-0.00051665
1686066600000,26031.1,26139.0,25997.0,26030.0,7763.48,1686066899999,202361427.54642,47261,4037.796,105290060.28072,0,-0.00060176,0.00040354,-0.00128927,-0.0003886
1686066900000,26029.9,26073.4,26029.9,26051.2,2377.02,1686067199999,61921551.8006,20142,1109.255,28894443.1396,0,-0.00047622,-9.331e-05,-0.00077618,-0.00050953
1686067200000,26051.2,26188.4,26051.2,26153.6,8700.243,1686067499999,227288023.78038,57444,5589.599,146010833.51928,0,-0.00056096,0.00029942,-0.0006511,-0.00041941
1686067500000,26153.7,26180.0,26082.6,26162.1,4382.622,1686067799999,114506026.3449,37213,2174.662,56821626.2073,0,-0.0005525,6.648e-05,-0.00077,-0.00055708
1686067800000,26162.1,26199.0,26123.0,26140.5,3867.312,1686068099999,101194699.6324,35256,1883.7,49297650.5126,0,-0.00028506,-0.00010972,-0.0007913,-0.00051667
1686068100000,26140.5,26154.9,26107.5,26133.0,2438.694,1686068399999,63719782.7397,23441,1063.612,27791041.704,0,-0.00030179,-4.225e-05,-0.00078225,-0.00032778
1686068400000,26133.0,26241.2,26129.9,26212.0,5814.073,1686068699999,152358915.6221,47538,3371.12,88338030.4269,0,-0.00034439,-5.77e-06,-0.00087528,-0.00042177
1686068700000,26212.0,26230.0,26178.0,26198.8,2289.136,1686068999999,59987719.2117,25086,1094.108,28672228.8033,0,-0.00016998,-0.00011765,-0.00068333,-0.00044577
1686069000000,26198.8,26215.3,26161.0,26168.5,1849.616,1686069299999,48438361.9457,21127,698.624,18296866.2492,0,-0.00040904,-0.00012155,-0.00064826,-0.00045244
1686069300000,26168.4,26174.9,26139.0,26149.3,1609.075,1686069599999,42081405.4051,20780,714.644,18690236.6176,0,-0.00040026,-0.0002166,-0.0006968,-0.0003836
1686069600000,26149.3,26171.4,26143.8,26155.6,1160.506,1686069899999,30355915.0142,16551,612.68,16026494.4355,0,-0.00035191,-0.00017186,-0.00061134,-0.00038927
1686069900000,26155.6,26163.9,26132.0,26147.8,1356.366,1686070199999,35460259.3199,14831,495.187,12945870.297,0,-0.00042196,-0.0001282,-0.00060413,-0.00035282
1686070200000,26147.9,26295.8,26147.8,26266.6,8083.338,1686070499999,212167831.06444,60739,4538.92,119125391.33774,0,-0.00045044,0.0006041,-0.00100055,-0.00025744
1686070500000,26266.5,26400.0,26259.2,26360.9,12735.58,1686070799999,335434261.4364,81984,7728.959,203575900.5213,0,-0.00046173,0.00109448,-0.00095556,-0.00022063
1686070800000,26360.9,26425.0,26280.0,26312.3,8163.522,1686071099999,215103952.2198,64522,3949.196,104087064.7791,0,-0.00025949,0.00025202,-0.00076331,-0.00039071
1686071100000,26312.4,26344.9,26280.1,26317.0,3090.27,1686071399999,81291097.7659,31140,1769.904,46559720.522,0,-0.00030195,7.289e-05,-0.00058224,-0.00040193
1686071400000,26316.9,26488.0,26316.9,26447.6,11929.875,1686071699999,315350624.4468,83443,7237.39,191290447.2302,0,-0.0001757,0.00065262,-0.00054714,-0.00037874
1686071700000,26447.7,26530.0,26383.4,26495.1,10215.978,1686071999999,270351357.4297,71267,5843.062,154659841.1076,0,-0.00021709,0.00027133,-0.00076523,-0.00035203
1686072000000,26495.1,26529.9,26420.0,26439.9,6536.776,1686072299999,172997208.7217,48235,3278.631,86766056.0353,0,-0.0003564,5.209e-05,-0.00142992,-0.00021116
1686072300000,26439.9,26736.0,26437.0,26687.5,22191.002,1686072599999,590721564.40703,122225,13177.816,350803785.71843,0,-0.00035267,0.00151761,-0.00184637,-0.00184637
1686072600000,26687.4,26725.3,26573.3,26611.1,9826.421,1686072899999,261789077.8746,70671,4486.742,119530835.6023,0,-0.00107833,0.00096057,-0.00127824,-0.00028033
1686072900000,26611.1,26780.0,26602.9,26726.6,11430.279,1686073199999,305270910.3794,81460,6406.274,171102355.6417,0,-0.00036707,0.00031799,-0.00096233,-0.00019496
1686073200000,26726.6,26753.7,26675.1,26682.4,5004.569,1686073499999,133666209.6614,44083,2353.743,62875185.597,0,-0.00012523,0.00036108,-0.00058473,-0.000418
1686073500000,26682.5,26730.0,26635.0,26653.2,4695.125,1686073799999,125261906.7296,45529,2095.301,55904772.6358,0,-0.00050557,3.405e-05,-0.00083078,-0.00036889
1686073800000,26653.2,26720.9,26642.9,26669.0,3387.51,1686074099999,90371470.6035,32487,1706.078,45512236.0149,0,-0.00023981,0.00018662,-0.00058659,-0.00026853
1686074100000,26669.0,26696.8,26640.0,26659.8,3066.513,1686074399999,81757682.5603,28084,1408.385,37551067.4737,0,-0.00033665,7.153e-05,-0.00059491,-0.00028441
1686074400000,26659.8,26684.9,26621.0,26628.0,3155.49,1686074699999,84085397.5855,29172,1353.404,36069464.713,0,-0.00029539,-2.22e-05,-0.00067614,-0.00050515
1686074700000,26627.9,26691.2,26626.9,26670.3,2587.375,1686074999999,68985294.9446,23478,1547.904,41272613.1615,0,-0.00069943,1.736e-05,-0.00090661,-0.00043926
1686075000000,26670.3,26734.5,26670.3,26709.9,3247.994,1686075299999,86749839.8209,30028,1883.991,50318108.8853,0,-0.00031855,0.0,-0.00089293,-0.00029296
1686075300000,26710.0,26748.6,26700.4,26719.5,2208.769,1686075599999,59017500.7006,24587,1073.829,28694423.5949,0,-0.00030019,-8.189e-05,-0.00066942,-0.00040862
1686075600000,26719.4,26730.6,26700.0,26708.1,1671.749,1686075899999,44654479.4523,19462,708.951,18938160.952,0,-0.00033289,-0.00013706,-0.00061475,-0.00047037
1686075900000,26708.1,26743.4,26708.1,26739.0,1481.581,1686076199999,39592955.2186,18422,825.641,22063951.7753,0,-0.00042364,-0.00018984,-0.00050755,-0.00033651
1686076200000,26739.0,26776.2,26702.9,26703.5,3468.259,1686076499999,92740106.9044,31297,1574.373,42105194.7857,0,-0.00016056,-5.096e-05,-0.00089926,-0.00055374
1686076500000,26703.5,26722.7,26662.9,26720.1,2910.843,1686076799999,77684909.0632,28770,1324.684,35355487.7333,0,-0.00060602,5.094e-05,-0.00077542,5.094e-05
1686076800000,26720.1,26740.9,26707.0,26722.4,1699.841,1686077099999,45426345.3312,16997,978.305,26144190.6847,0,-0.00017763,-4.36e-05,-0.00049352,-0.00025643
1686077100000,26722.4,26731.0,26696.1,26706.2,1173.235,1686077399999,31345247.6526,13311,542.749,14500874.6005,0,-0.00028135,-0.00014095,-0.00058855,-0.0005063
1686077400000,26706.2,26714.7,26655.2,26670.4,1865.402,1686077699999,49784054.8264,18183,595.47,15892702.9067,0,-0.00047897,-0.00019068,-0.00069391,-0.00037762
1686077700000,26670.5,26707.3,26668.9,26687.2,972.503,1686077999999,25958967.4318,11324,516.093,13775419.797,0,-0.00045518,-0.0001231,-0.00051327,-0.00051327
1686078000000,26687.3,26714.6,26687.3,26704.1,914.282,1686078299999,24415885.5582,9413,438.133,11700438.5695,0,-0.00045527,-0.00010306,-0.0004678,-0.00041461
1686078300000,26704.1,26712.0,26677.6,26695.7,844.299,1686078599999,22541660.2083,9550,426.903,11398213.6854,0,-0.00041492,-0.00026231,-0.00084595,-0.00041768
1686078600000,26695.7,26731.3,26693.1,26723.7,1055.475,1686078899999,28198680.2294,9730,588.243,15715136.2136,0,-0.00040563,-0.00016253,-0.00059038,-0.00037543
1686078900000,26723.8,26735.1,26706.1,26712.1,785.428,1686079199999,20987033.3465,10534,375.63,10037275.3094,0,-0.00036222,-7.699e-05,-0.00058252,-0.00038204
1686079200000,26712.2,26964.4,26712.1,26869.5,14471.784,1686079499999,388695244.31062,79887,9469.686,254300247.31322,0,-0.00031081,0.00190383,-0.00387618,0.00178529
1686079500000,26869.6,26978.6,26837.8,26900.0,8093.14,1686079799999,217654202.9704,64352,4129.604,111072782.337,0,0.00078208,0.00203631,-0.00233868,-0.00080209
1686079800000,26900.0,26953.7,26858.0,26859.9,4202.486,1686080099999,113074121.6309,42135,1983.305,53370827.4441,0,-0.0006361,-9.36e-06,-0.00080634,-0.00069501
1686080100000,26860.0,26931.2,26859.9,26882.6,2707.749,1686080399999,72830983.4167,30254,1391.28,37421810.8847,0,-0.00064014,0.0,-0.00076662,-0.00049527
1686080400000,26882.7,26937.0,26862.7,26905.5,2402.19,1686080699999,64615528.1289,25323,1257.454,33826351.1818,0,-0.00031065,-3.849e-05,-0.00076272,-0.00048241
1686080700000,26905.5,27060.0,26883.8,26952.0,9178.193,1686080999999,247404141.9424,68093,5300.909,142930397.7796,0,-0.0003881,0.00058409,-0.00106619,-0.00016723
1686081000000,26952.0,27238.9,26947.1,27153.1,19578.771,1686081299999,530837267.83855,124976,11482.913,311368842.40275,0,-0.00020906,0.00139499,-0.00204554,-0.00029789
1686081300000,27153.1,27177.3,27073.2,27073.2,4950.051,1686081599999,134289791.0761,53181,2101.238,57012743.5222,0,-0.00024396,0.00017945,-0.00136285,-0.00053118
1686081600000,27073.3,27141.0,27050.3,27067.6,4840.604,1686081899999,131149064.9628,46469,2354.107,63783847.5055,0,-0.00036685,0.0001678,-0.00087373,-0.00029297
1686081900000,27067.6,27182.4,27067.6,27128.0,4589.857,1686082199999,124549790.184,42416,2621.141,71124468.9295,0,-0.00015497,0.00029171,-0.00058125,-0.00032014
1686082200000,27128.0,27175.4,27127.4,27145.9,2581.399,1686082499999,70078505.4123,25939,1443.708,39193658.444,0,-0.00034394,0.00032968,-0.00053633,-0.00030013
1686082500000,27145.9,27222.0,27050.7,27050.7,6348.671,1686082799999,172244175.1978,48660,3185.002,86443033.6042,0,-0.00030553,0.00037184,-0.00071776,-0.00053062
1686082800000,27050.7,27089.9,26884.0,26957.0,11743.507,1686083099999,316816889.682,76275,4996.147,134792429.0709,0,-0.00054964,0.00014168,-0.00283917,-4.547e-05
1686083100000,26957.0,27016.9,26942.8,26991.4,4553.213,1686083399999,122883030.0192,40578,2373.193,64051475.8241,0,-0.00074269,0.00034206,-0.00140327,-0.00025764
1686083400000,26991.5,27010.4,26930.2,26944.0,3801.661,1686083699999,102501077.3589,34162,1503.26,40533769.2734,0,-8.286e-05,4.917e-05,-0.00063353,-0.00027924
1686083700000,26944.0,27003.8,26943.9,26957.1,2525.54,1686083999999,68121676.0757,28543,1370.247,36960586.6688,0,-0.00020643,0.00025799,-0.00049208,-0.00033972
1686084000000,26957.2,26965.7,26912.7,26934.5,3866.078,1686084299999,104130477.6125,34791,1848.31,49780864.4316,0,-0.00026964,0.00015453,-0.00061533,-0.00014701
1686084300000,26934.5,26994.9,26927.0,26963.4,2638.035,1686084599999,71152224.5449,24167,1565.216,42215485.0163,0,-0.00022602,0.00011256,-0.00041171,-0.00022085
1686084600000,26963.5,26985.2,26953.1,26969.0,1184.082,1686084899999,31936731.4789,13572,611.058,16481701.0023,0,-0.00012834,-1.258e-05,-0.00046109,-0.00018838
1686084900000,26969.0,26983.5,26933.1,26939.0,1373.644,1686085199999,37033821.9375,13501,566.346,15269024.2526,0,-0.00025759,5.816e-05,-0.00046728,-0.00026524
1686085200000,26939.0,26998.5,26939.0,26990.1,1690.114,1686085499999,45593497.573,17453,1119.351,30196713.6605,0,-7.851e-05,6.118e-05,-0.00048093,-0.00020881
1686085500000,26990.1,27022.0,26967.2,26973.8,2011.625,1686085799999,54304507.169,22050,1021.728,27584336.0556,0,-0.00018213,0.000182,-0.00042876,-0.0003957
1686085800000,26973.8,27062.1,26970.6,27039.9,2618.359,1686086099999,70779751.4422,23995,1641.829,44381440.7813,0,-0.00037303,0.00020461,-0.00051567,-0.00031931
1686086100000,27039.9,27043.5,27001.0,27001.0,1251.014,1686086399999,33806057.3164,14178,562.875,15211451.7263,0,-0.00017728,-2.006e-05,-0.00055729,-0.00052217
1686086400000,27001.0,27012.4,26983.4,27002.5,945.781,1686086699999,25533742.2044,11630,422.513,11406785.2644,0,-0.00060504,-0.00015031,-0.00060504,-0.00028125
1686086700000,27002.5,27010.7,26992.4,27000.0,625.966,1686086999999,16901734.4342,9673,259.293,7001287.966,0,-0.00030602,-0.00015726,-0.00049243,-0.00027429
1686087000000,26999.9,27000.0,26942.8,26942.8,1733.995,1686087299999,46762421.3771,15928,598.396,16138875.6214,0,-0.00027429,-0.00021629,-0.0006831,-0.00050457
1686087300000,26942.8,26977.6,26934.3,26977.6,1123.365,1686087599999,30281591.0877,11768,583.087,15719157.5559,0,-0.00052758,-1.257e-05,-0.00052758,-0.0001049
1686087600000,26977.7,27054.0,26977.7,27039.0,1502.794,1686087899999,40610576.8592,18704,961.454,25979454.9378,0,-0.00010836,0.00039199,-0.00053777,-0.00024377
1686087900000,27039.0,27052.5,27014.5,27014.5,775.795,1686088199999,20970534.953,11666,296.507,8015476.8317,0,-0.00015975,3.258e-05,-0.00062666,-0.00046384
1686088200000,27014.5,27074.0,27014.5,27064.4,1113.683,1686088499999,30131577.0293,12731,745.053,20157563.7283,0,-0.00048128,2.2e-05,-0.00048128,-0.00041431
1686088500000,27064.4,27088.8,27012.8,27053.9,2237.982,1686088799999,60522275.4645,17764,1041.002,28156566.2815,0,-0.00028922,5.808e-05,-0.00149398,-2.938e-05
1686088800000,27054.0,27080.9,27044.5,27052.7,1082.633,1686089099999,29299113.4761,13212,520.29,14081159.3245,0,-8.295e-05,4.729e-05,-0.00070704,-0.00041759
1686089100000,27052.7,27055.2,27037.8,27043.0,700.845,1686089399999,18953823.2742,8411,287.764,7782402.3536,0,-0.00046482,-0.0002267,-0.00058895,-0.00024565
1686089400000,27043.1,27069.8,27042.4,27067.0,813.76,1686089699999,22016523.5678,9044,525.315,14213224.4797,0,-0.00024565,-5.614e-05,-0.00047986,-0.00028016
