open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682656560000,22.409,22.415,22.397,22.415,11901,1682656739999,266670.663,590,5557,124523.348,0
1682656740000,22.415,22.426,22.402,22.416,18314,1682656919999,410559.065,843,9773,219090.46,0
1682656920000,22.417,22.431,22.4,22.43,20142,1682657099999,451433.122,792,6847,153478.272,0
1682657100000,22.431,22.431,22.379,22.39,20762,1682657279999,465107.259,868,7707,172635.312,0
1682657280000,22.39,22.391,22.368,22.381,10306,1682657459999,230645.295,593,5309,118817.624,0
1682657460000,22.381,22.381,22.356,22.367,11958,1682657639999,267497.488,550,3144,70325.757,0
1682657640000,22.367,22.405,22.361,22.401,13407,1682657819999,300123.051,644,9491,212450.093,0
1682657820000,22.401,22.424,22.375,22.384,26730,1682657999999,598903.487,955,16895,378610.378,0
1682658000000,22.384,22.392,22.365,22.379,17849,1682658179999,399415.956,786,9284,207766.312,0
1682658180000,22.38,22.384,22.363,22.371,12662,1682658359999,283249.232,548,5544,124016.448,0
1682658360000,22.372,22.378,22.361,22.368,10769,1682658539999,240894.84,506,4377,97913.279,0
1682658540000,22.368,22.369,22.328,22.341,37748,1682658719999,843470.155,1207,10867,242801.822,0
1682658720000,22.341,22.35,22.327,22.338,13628,1682658899999,304378.355,660,6944,155098.427,0
1682658900000,22.338,22.362,22.334,22.362,24240,1682659079999,541724.098,834,11933,266661.578,0
1682659080000,22.361,22.361,22.339,22.357,13132,1682659259999,293462.716,572,6083,135929.32,0
1682659260000,22.358,22.391,22.352,22.391,15037,1682659439999,336285.765,665,9302,208051.711,0
1682659440000,22.391,22.394,22.362,22.365,20515,1682659619999,459071.568,713,10023,224288.78,0
1682659620000,22.366,22.384,22.362,22.38,7108,1682659799999,159005.562,399,3674,82186.149,0
1682659800000,22.381,22.395,22.355,22.36,14711,1682659979999,329228.735,582,5984,133904.322,0
1682659980000,22.359,22.367,22.341,22.356,22145,1682660159999,494935.943,682,13554,302908.189,0
1682660160000,22.358,22.435,22.354,22.431,39854,1682660339999,893130.714,1442,25144,563498.014,0
1682660340000,22.432,22.432,22.396,22.419,22990,1682660519999,515367.558,967,11967,268271.815,0
1682660520000,22.421,22.427,22.403,22.412,17736,1682660699999,397500.275,655,9559,214246.154,0
1682660700000,22.411,22.422,22.388,22.411,21712,1682660879999,486454.708,854,10337,231601.671,0
1682660880000,22.41,22.41,22.367,22.37,22809,1682661059999,510619.148,844,9965,223068.529,0
1682661060000,22.369,22.371,22.34,22.355,19744,1682661239999,441389.131,784,9203,205721.354,0
1682661240000,22.355,22.363,22.345,22.35,10106,1682661419999,225941.666,504,4700,105076.748,0
1682661420000,22.352,22.352,22.323,22.324,30387,1682661599999,678676.38,923,11800,263562.95,0
1682661600000,22.325,22.35,22.318,22.35,27986,1682661779999,624939.302,1128,14467,323081.662,0
1682661780000,22.351,22.361,22.336,22.359,18087,1682661959999,404231.605,733,10084,225374.805,0
1682661960000,22.36,22.38,22.351,22.369,15727,1682662139999,351784.248,701,8626,192951.65,0
1682662140000,22.369,22.397,22.361,22.392,19259,1682662319999,430976.006,757,10831,242364.319,0
1682662320000,22.393,22.398,22.375,22.381,9906,1682662499999,221767.944,463,4017,89928.147,0
1682662500000,22.38,22.445,22.38,22.412,47087,1682662679999,1055826.024,1444,25136,563613.33,0
1682662680000,22.413,22.414,22.381,22.385,28664,1682662859999,642035.205,1045,10776,241366.204,0
1682662860000,22.383,22.384,22.297,22.334,55768,1682663039999,1245624.034,2032,22436,501115.533,0
1682663040000,22.333,22.383,22.322,22.37,26451,1682663219999,591369.016,1021,12723,284412.3,0
1682663220000,22.37,22.377,22.359,22.371,12789,1682663399999,286061.37,624,6538,146243.281,0
1682663400000,22.372,22.39,22.357,22.365,15484,1682663579999,346465.33,696,5836,130565.754,0
1682663580000,22.366,22.392,22.355,22.386,18920,1682663759999,423381.466,796,9513,212859.105,0
1682663760000,22.386,22.419,22.386,22.412,25798,1682663939999,577940.838,863,13086,293151.883,0
1682663940000,22.413,22.415,22.382,22.39,23745,1682664119999,531885.463,852,10443,233913.13,0
1682664120000,22.389,22.394,22.353,22.364,17547,1682664299999,392444.013,899,9019,201682.696,0
1682664300000,22.363,22.386,22.34,22.37,29136,1682664479999,651596.534,1398,14523,324822.65,0
1682664480000,22.371,22.39,22.364,22.38,16836,1682664659999,376813.897,793,9670,216434.325,0
1682664660000,22.376,22.395,22.364,22.393,13654,1682664839999,305570.159,619,7485,167522.12,0
1682664840000,22.392,22.406,22.374,22.405,12921,1682665019999,289290.675,607,5403,120961.9,0
1682665020000,22.405,22.408,22.384,22.385,14268,1682665199999,319578.902,611,6346,142137.675,0
1682665200000,22.386,22.431,22.382,22.431,35151,1682665379999,787841.369,1247,23001,515522.206,0
1682665380000,22.43,22.476,22.417,22.466,46248,1682665559999,1038127.38,1615,31387,704565.418,0
